PersonIdCode,PersonNumber,FirstName,LastName,GenderAsString,DateOfBirth,Age,AgeCategory,AgeCategoryText,NativeLanguage,CantonAbbreviation,CantonName,CouncilAbbreviation,DateElection,DateJoining,ParlGroupAbbreviation,ParlGroupName,ParlGroupFunctionText,PartyAbbreviation,PartyName,FirstSession,FirstSessionDate,Seniority,TotalWords,NbrSessions,TotalInterventions,InterventionPerSession,ParlPosX,ParlPosY
2023,724,Daniel,Brélaz,m,04.01.1950,66,5,60-69,F,VD,Vaud,CN,2015-10-18T00:00:00,2015-11-30T00:00:00,G,Groupe des Verts,Membre,PES,Parti écologiste suisse,4802,2008-03-03,3223,21367,45,59,1.3111111111111111,282.8,377.3
2061,466,Anita,Fetz,f,19.03.1957,59,4,50-59,D,BS,Bâle-Ville,CE,2015-10-18T00:00:00,2015-11-30T00:00:00,S,Groupe socialiste,Membre,PSS,Parti socialiste suisse,4603,2000-06-05,6051,401591,82,1030,12.560975609756095,610.1,129.9
2129,487,Susanne,Leutenegger Oberholzer,f,06.03.1948,68,5,60-69,D,BL,Bâle-Campagne,CN,2015-10-18T00:00:00,2015-11-30T00:00:00,S,Groupe socialiste,Membre,PSS,Parti socialiste suisse,4601,1999-12-06,6233,384897,84,1292,15.38095238095238,117.4,514.6
2143,172,Paul,Rechsteiner,m,26.08.1952,64,5,60-69,D,SG,St-Gall,CE,2015-11-15T00:00:00,2015-11-30T00:00:00,S,Groupe socialiste,Membre,PSS,Parti socialiste suisse,4601,1999-12-06,6233,210298,84,444,5.285714285714286,685,209.1
2147,173,Maximilian,Reimann,m,07.05.1942,74,6,70+,D,AG,Argovie,CN,2015-10-18T00:00:00,2015-11-30T00:00:00,V,Groupe de l'Union démocratique du Centre,Membre,UDC,Union Démocratique du Centre,4601,1999-12-06,6233,211973,84,585,6.9642857142857135,386.9,206.6
2287,74,Christoph,Eymann,m,15.01.1951,65,5,60-69,D,BS,Bâle-Ville,CN,2015-10-18T00:00:00,2015-11-30T00:00:00,RL,Groupe libéral-radical,Membre,PLD,Parti libéral démocrate,4601,1999-12-06,6233,5829,84,17,0.2023809523809524,89.2,323.9
2292,91,Ulrich,Giezendanner,m,31.10.1953,63,5,60-69,D,AG,Argovie,CN,2015-10-18T00:00:00,2015-11-30T00:00:00,V,Groupe de l'Union démocratique du Centre,Membre,UDC,Union Démocratique du Centre,4601,1999-12-06,6233,43137,84,278,3.3095238095238093,286.5,62.1
2310,146,Ueli,Maurer,m,01.12.1950,65,5,60-69,D,ZH,Zurich,CF,2008-12-10T00:00:00,2008-12-10T00:00:00,,,,UDC,Union Démocratique du Centre,4609,2001-09-17,5582,385003,76,1079,14.197368421052632,488.8,287.5
2323,214,Luzi,Stamm,m,09.09.1952,64,5,60-69,D,AG,Argovie,CN,2015-10-18T00:00:00,2015-11-30T00:00:00,V,Groupe de l'Union démocratique du Centre,Membre,UDC,Union Démocratique du Centre,4601,1999-12-06,6233,111497,84,337,4.011904761904762,115.7,95.3
2328,224,Alexander,Tschäppät,m,16.04.1952,64,5,60-69,D,BE,Berne,CN,2015-10-18T00:00:00,2015-11-30T00:00:00,S,Groupe socialiste,Membre,PSS,Parti socialiste suisse,4601,1999-12-06,6233,16566,84,33,0.3928571428571429,188.3,442.1
2370,305,Didier,Berberat,m,01.12.1956,59,4,50-59,F,NE,Neuchâtel,CE,2015-10-18T00:00:00,2015-11-30T00:00:00,S,Groupe socialiste,Membre,PSS,Parti socialiste suisse,4601,1999-12-06,6233,213615,84,503,5.988095238095237,647.1,138.2
2372,307,Toni,Brunner,m,23.08.1974,42,3,40-49,D,SG,St-Gall,CN,2015-10-18T00:00:00,2015-11-30T00:00:00,V,Groupe de l'Union démocratique du Centre,Membre,UDC,Union Démocratique du Centre,4602,2000-03-06,6142,77432,83,225,2.710843373493976,179.4,54.9
2385,321,Peter,Föhn,m,11.12.1952,63,5,60-69,D,SZ,Schwyz,CE,2015-10-18T00:00:00,2015-11-30T00:00:00,V,Groupe de l'Union démocratique du Centre,Membre,UDC,Union Démocratique du Centre,4601,1999-12-06,6233,161070,84,470,5.595238095238094,679.6,339.8
2405,341,Liliane,Maury Pasquier,f,16.12.1956,59,4,50-59,F,GE,Genève,CE,2015-11-08T00:00:00,2015-11-30T00:00:00,S,Groupe socialiste,Membre,PSS,Parti socialiste suisse,4601,1999-12-06,6233,448340,84,1648,19.61904761904762,608.9,200.4
2417,354,Silva,Semadeni,f,08.02.1952,64,5,60-69,I,GR,Grisons,CN,2015-10-18T00:00:00,2015-11-30T00:00:00,S,Groupe socialiste,Membre,PSS,Parti socialiste suisse,4901,2011-12-05,1851,26548,26,90,3.4615384615384617,192.3,485.5
2501,477,Claude,Janiak,m,30.10.1948,68,5,60-69,D,BL,Bâle-Campagne,CE,2015-10-18T00:00:00,2015-11-30T00:00:00,S,Groupe socialiste,Membre,PSS,Parti socialiste suisse,4602,2000-03-06,6142,370707,83,1807,21.7710843373494,609.7,165.3
2510,488,Doris,Leuthard,f,10.04.1963,53,4,50-59,D,AG,Argovie,CF,2006-06-14T00:00:00,2006-06-14T00:00:00,,,,PDC,Parti démocrate-chrétien suisse,4602,2000-03-06,6142,1013703,83,2975,35.843373493975896,500.1,307
2525,502,Kathy,Riklin,f,21.10.1952,64,5,60-69,D,ZH,Zurich,CN,2015-10-18T00:00:00,2015-11-30T00:00:00,C,Groupe PDC,Membre,PDC,Parti démocrate-chrétien suisse,4603,2000-06-05,6051,124340,82,394,4.8048780487804885,20.6,326.6
2530,508,Johann N.,Schneider-Ammann,m,18.02.1952,64,5,60-69,D,BE,Berne,CF,2010-09-22T00:00:00,2010-09-22T00:00:00,,,,PLR,PLR.Les Libéraux-Radicaux,4602,2000-03-06,6142,487784,83,1593,19.192771084337352,478,307
2534,512,Simonetta,Sommaruga,f,14.05.1960,56,4,50-59,D,BE,Berne,CF,2010-09-22T00:00:00,2010-09-22T00:00:00,,,,PSS,Parti socialiste suisse,4601,1999-12-06,6233,961632,84,2386,28.404761904761905,455.9,307
