,Active,AdditionalActivity,AdditionalMandate,BirthPlace_Canton,BirthPlace_City,CantonAbbreviation,CantonName,Citizenship,CouncilAbbreviation,CouncilName,DateElection_at,DateJoining_at,DateLeaving_at,DateOath_at,DateOfBirth_at,DateOfDeath_at,DateResignation_at,FirstName,Gender,ID,LastName,Mandates,MaritalStatus,MilitaryRank,NumberOfChildren,ParlGroupAbbreviation,ParlGroupFunction,ParlGroupFunctionText,ParlGroupName,PartyAbbreviation,PartyName,PersonIdCode
0,false,Réducteur TSV de 1971 à 1983,"Prés. Féd. Romande des Sociolistes ch., Prés. OSEO Vaudoise",,Pompaples,VD,Vaud,"Sullens (VD),Lutry (VD)",CN,Conseil national,1995-12-04,1995-12-04,1999-12-05,1995-12-04,1938-03-02,,1999-12-05,Pierre,m,1,Aguet,"Conseiller communal de 1965 à 1982, Conseiller municipal depuis 1982, Législatif cantonal: Député de 1974 à 1987",marié(e),Fourrier,,,,,,PSS,Parti socialiste suisse,2200.0
1,false,,,,,ZH,Zurich,"Kreuzlingen (TG),Fällanden (ZH)",CN,Conseil national,1979-11-26,1979-11-26,1995-12-03,1979-11-26,1928-02-22,,1995-12-03,Heinz,m,2,Allenspach,,,,,,,,,PLR,PLR.Les Libéraux-Radicaux,2002.0
2,false,"Zentralpräsident Schweiz. Skliverband 1985 bis 1989, Präsident Golfclub Flühli-Sörenberg seit 1995",,,Hasle,LU,Lucerne,Hasle (LU),CN,Conseil national,1995-12-04,1995-12-04,1999-12-05,1995-12-04,1931-01-27,,1999-12-05,Manfred,m,6,Aregger,Grossrat 1967 bis 1983 (Präsident 1977),marié(e),Adjudant sous-officier,5.0,,,,,PLR,PLR.Les Libéraux-Radicaux,2004.0
3,false,,,,,BE,Berne,Tavannes (BE),CN,Conseil national,1979-11-26,1979-11-26,1995-12-03,1979-11-26,1928-03-04,,1995-12-03,Geneviève,f,7,Aubry,,,,,,,,,,,2005.0
4,false,,,,,BE,Berne,"Siselen (BE),Richterswil (ZH)",CN,Conseil national,1987-11-30,1987-11-30,1995-12-03,1987-11-30,1947-12-01,,1995-12-03,Rosmarie,f,8,Bär,,,,,,,,,,,2008.0
5,false,Stiftungsrat Greina-Stiftung,Präsident der Grünen Partei der Schweiz,,Suberg,BE,Berne,Wileroltigen (BE),CN,Conseil national,1995-12-04,1995-12-04,2003-11-30,1995-12-04,1947-11-11,,2003-11-30,Ruedi,m,9,Baumann,"Gemeinderat Grossaffoltern von 1982 bis 1986, Grossrat Bern von 1986 bis 1991",marié(e),,2.0,,,,,,,2268.0
6,false,,,,Winterthur,ZH,Zurich,"Winterthur (ZH),Balterswil (TG)",CN,Conseil national,1995-12-04,1995-12-04,1999-12-05,1995-12-04,1942-09-03,,1999-12-05,Peter,m,10,Baumberger,Gemeinde-Legislative von 1974 bis 1986,marié(e),Capitaine,2.0,,,,,PDC,Parti démocrate-chrétien suisse,2269.0
7,false,,EKF,,Berne,BE,Berne,"Bonau (TG),Berne (BE),Zurich (ZH)",CN,Conseil national,1995-12-04,1995-12-04,1998-12-15,1995-12-04,1938-05-12,,1998-12-15,Ursula,f,11,Bäumlin,Gemeinde-Legislative von 1984 bis 1987,marié(e),,2.0,,,,,,,2011.0
8,false,,,,Bienne,BE,Berne,"Thal (SG),Bienne (BE)",CE,Conseil des Etats,1995-12-04,1995-12-04,2003-11-30,1995-12-04,1953-03-26,,2003-11-30,Christine,f,12,Beerli,"Grossrat Bern von 1986 bis 1991, Stadtrat Biel von 1980 bis 1983",marié(e),,,,,,,,,2335.0
9,false,,,,La Chaux-de-Fonds,NE,Neuchâtel,Rochefort (NE),CE,Conseil des Etats,1987-11-30,1987-11-30,1999-12-05,1987-11-30,1947-12-02,,1999-12-05,Thierry,m,13,Béguin,Conseil général de 1976 à 1988,marié(e),Appointé,4.0,,,,,PLR,PLR.Les Libéraux-Radicaux,2202.0
