,Active,AdditionalActivity,AdditionalMandate,BirthPlace_Canton,BirthPlace_City,Canton,CantonAbbreviation,CantonName,Citizenship,Council,CouncilAbbreviation,CouncilName,DateElection,DateJoining,DateLeaving,DateOath,DateOfBirth,DateOfDeath,DateResignation,FirstName,GenderAsString,ID,IdPredecessor,Language,LastName,Mandates,MaritalStatus,MaritalStatusText,MilitaryRank,MilitaryRankText,Modified,NumberOfChildren,OfficialName,ParlGroupAbbreviation,ParlGroupFunction,ParlGroupFunctionText,ParlGroupName,ParlGroupNumber,Party,PartyAbbreviation,PartyName,PersonIdCode,PersonNumber
0,false,Réducteur TSV de 1971 à 1983,"Prés. Féd. Romande des Sociolistes ch., Prés. OSEO Vaudoise",,Pompaples,22,VD,Vaud,"Sullens (VD),Lutry (VD)",1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1938-03-02T00:00:00,,1999-12-05T00:00:00,Pierre,m,1,,FR,Aguet,"Conseiller communal de 1965 à 1982, Conseiller municipal depuis 1982, Législatif cantonal: Député de 1974 à 1987",2,marié(e),5,Fourrier,2015-05-17T21:18:19.387,,Aguet,,,,,,12,PSS,Parti socialiste suisse,2200,1
1,false,,,,,1,ZH,Zurich,"Kreuzlingen (TG),Fällanden (ZH)",1,CN,Conseil national,1979-11-26T00:00:00,1979-11-26T00:00:00,1995-12-03T00:00:00,1979-11-26T00:00:00,1928-02-22T00:00:00,,1995-12-03T00:00:00,Heinz,m,2,,FR,Allenspach,,,,,,2015-05-17T21:18:19.387,,Allenspach,,,,,,15,PLR,PLR.Les Libéraux-Radicaux,2002,2
2,false,"Zentralpräsident Schweiz. Skliverband 1985 bis 1989, Präsident Golfclub Flühli-Sörenberg seit 1995",,,Hasle,3,LU,Lucerne,Hasle (LU),1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1931-01-27T00:00:00,,1999-12-05T00:00:00,Manfred,m,6,,FR,Aregger,Grossrat 1967 bis 1983 (Präsident 1977),2,marié(e),7,Adjudant sous-officier,2015-05-17T21:18:19.387,5,Aregger,,,,,,15,PLR,PLR.Les Libéraux-Radicaux,2004,6
3,false,,,,,2,BE,Berne,Tavannes (BE),1,CN,Conseil national,1979-11-26T00:00:00,1979-11-26T00:00:00,1995-12-03T00:00:00,1979-11-26T00:00:00,1928-03-04T00:00:00,,1995-12-03T00:00:00,Geneviève,f,7,,FR,Aubry,,,,,,2015-05-17T21:18:19.387,,Aubry Geneviève,,,,,,,,,2005,7
4,false,,,,,2,BE,Berne,"Siselen (BE),Richterswil (ZH)",1,CN,Conseil national,1987-11-30T00:00:00,1987-11-30T00:00:00,1995-12-03T00:00:00,1987-11-30T00:00:00,1947-12-01T00:00:00,,1995-12-03T00:00:00,Rosmarie,f,8,,FR,Bär,,,,,,2015-05-17T21:18:19.387,,Bär,,,,,,,,,2008,8
5,false,Stiftungsrat Greina-Stiftung,Präsident der Grünen Partei der Schweiz,,Suberg,2,BE,Berne,Wileroltigen (BE),1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1947-11-11T00:00:00,,2003-11-30T00:00:00,Ruedi,m,9,,FR,Baumann,"Gemeinderat Grossaffoltern von 1982 bis 1986, Grossrat Bern von 1986 bis 1991",2,marié(e),,,2015-05-17T21:18:19.387,2,Baumann Ruedi,,,,,,,,,2268,9
6,false,,,,Winterthur,1,ZH,Zurich,"Winterthur (ZH),Balterswil (TG)",1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1942-09-03T00:00:00,,1999-12-05T00:00:00,Peter,m,10,,FR,Baumberger,Gemeinde-Legislative von 1974 bis 1986,2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,2,Baumberger Peter,,,,,,14,PDC,Parti démocrate-chrétien suisse,2269,10
7,false,,EKF,,Berne,2,BE,Berne,"Bonau (TG),Berne (BE),Zurich (ZH)",1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1998-12-15T00:00:00,1995-12-04T00:00:00,1938-05-12T00:00:00,,1998-12-15T00:00:00,Ursula,f,11,,FR,Bäumlin,Gemeinde-Legislative von 1984 bis 1987,2,marié(e),,,2015-05-17T21:18:19.387,2,Bäumlin Ursula,,,,,,,,,2011,11
8,false,,,,Bienne,2,BE,Berne,"Thal (SG),Bienne (BE)",2,CE,Conseil des Etats,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1953-03-26T00:00:00,,2003-11-30T00:00:00,Christine,f,12,,FR,Beerli,"Grossrat Bern von 1986 bis 1991, Stadtrat Biel von 1980 bis 1983",2,marié(e),,,2015-05-17T21:18:19.387,,Beerli,,,,,,,,,2335,12
9,false,,,,La Chaux-de-Fonds,24,NE,Neuchâtel,Rochefort (NE),2,CE,Conseil des Etats,1987-11-30T00:00:00,1987-11-30T00:00:00,1999-12-05T00:00:00,1987-11-30T00:00:00,1947-12-02T00:00:00,,1999-12-05T00:00:00,Thierry,m,13,,FR,Béguin,Conseil général de 1976 à 1988,2,marié(e),2,Appointé,2015-05-17T21:18:19.387,4,Béguin Thierry,,,,,,15,PLR,PLR.Les Libéraux-Radicaux,2202,13
