,DateOfBirth,DateOfDeath,FirstName,GenderAsString,ID,Language,LastName,MaritalStatus,MaritalStatusText,MilitaryRank,MilitaryRankText,Modified,NativeLanguage,NumberOfChildren,OfficialName,PersonIdCode,PersonNumber,PlaceOfBirthCanton,PlaceOfBirthCity,Title,TitleText
0,1938-03-02T00:00:00,,Pierre,m,1,FR,Aguet,2,marié(e),5,Fourrier,2015-05-17T21:18:19.387,F,,Aguet,2200,1,Vaud,Pompaples,,
1,1928-02-22T00:00:00,,Heinz,m,2,FR,Allenspach,,,,,2015-05-17T21:18:19.387,D,,Allenspach,2002,2,,,,
2,1931-01-27T00:00:00,,Manfred,m,6,FR,Aregger,2,marié(e),7,Adjudant sous-officier,2015-05-17T21:18:19.387,D,5,Aregger,2004,6,Lucerne,Hasle,9,dipl. Bauing. HTL
3,1928-03-04T00:00:00,,Geneviève,f,7,FR,Aubry,,,,,2015-05-17T21:18:19.387,F,,Aubry Geneviève,2005,7,,,,
4,1947-12-01T00:00:00,,Rosmarie,f,8,FR,Bär,,,,,2015-05-17T21:18:19.387,D,,Bär,2008,8,,,,
5,1947-11-11T00:00:00,,Ruedi,m,9,FR,Baumann,2,marié(e),,,2015-05-17T21:18:19.387,D,2,Baumann Ruedi,2268,9,Berne,Suberg,10,dipl. Ing. Agr. ETH
6,1942-09-03T00:00:00,,Peter,m,10,FR,Baumberger,2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,D,2,Baumberger Peter,2269,10,Zurich,Winterthur,6,Dr. iur.
7,1938-05-12T00:00:00,,Ursula,f,11,FR,Bäumlin,2,marié(e),,,2015-05-17T21:18:19.387,D,2,Bäumlin Ursula,2011,11,Berne,Berne,12,lic. phil. I
8,1953-03-26T00:00:00,,Christine,f,12,FR,Beerli,2,marié(e),,,2015-05-17T21:18:19.387,D,,Beerli,2335,12,Berne,Bienne,115,lic. iur.
9,1947-12-02T00:00:00,,Thierry,m,13,FR,Béguin,2,marié(e),2,Appointé,2015-05-17T21:18:19.387,F,4,Béguin Thierry,2202,13,Neuchâtel,La Chaux-de-Fonds,3,lic. en droit
10,1942-06-23T00:00:00,,Duri,m,14,FR,Bezzola,2,marié(e),14,Colonel,2015-05-17T21:18:19.387,D,2,Bezzola Duri,2264,14,Grisons,Scuol,162,dipl. Arch. FH/STV
11,1947-11-26T00:00:00,,Max,m,15,FR,Binder,2,marié(e),35,--,2015-05-17T21:18:19.387,D,3,Binder,2270,15,Zurich,Illnau-Effretikon,155,dipl. Landwirt
12,1939-06-01T00:00:00,,Peter,m,16,FR,Bircher,2,marié(e),1,Soldat,2015-05-17T21:18:19.387,D,2,Bircher Peter,2260,16,Argovie,Wölflinswil,,
13,1945-09-25T00:00:00,,Silvio,m,17,FR,Bircher,,,,,2015-05-17T21:18:19.387,,,Bircher Silvio,2015,17,,,,
14,1957-07-30T00:00:00,,Hardi,m,18,FR,Bischof,,,,,2015-05-17T21:18:19.387,D,,Bischof Hardi,2271,18,,,,
15,1942-04-27T00:00:00,,Hans,m,19,FR,Bisig,2,marié(e),10,Premier-lieutenant,2015-05-17T21:18:19.387,D,2,Bisig,2336,19,Schwyz,Lachen,43,dipl. Arch. ETH
16,1940-12-29T00:00:00,1995-04-20T00:00:00,Ulrich,m,20,FR,Blatter,,,,,2015-05-17T21:18:19.387,,,Blatter,2016,20,,,,
17,1940-10-11T00:00:00,,Christoph,m,21,FR,Blocher,2,marié(e),14,Colonel,2015-05-17T21:18:19.387,D,4,Blocher,2017,21,Zurich,Laufen am Rheinfall,6,Dr. iur.
18,1933-09-16T00:00:00,,Peter,m,22,FR,Bloetzer,1,célibataire,14,Colonel,2015-05-17T21:18:19.387,D,,Bloetzer,2337,22,Valais,Brigue,95,dipl. Bauing. ETH
19,1952-03-30T00:00:00,,Peter,m,23,FR,Bodenmann,,,,,2015-05-17T21:18:19.387,,,Bodenmann Peter,2018,23,,,,
20,1931-06-20T00:00:00,,Jean-Pierre,m,24,FR,Bonny,2,marié(e),,,2015-05-17T21:18:19.387,D,,Bonny,2019,24,Berne,Berne,115,lic. iur.
21,1948-12-01T00:00:00,,François,m,25,FR,Borel,,,,,2015-05-17T21:18:19.387,F,2,Borel François,2021,25,Neuchâtel,Neuchâtel,,
22,1951-01-27T00:00:00,,Roland F.,m,26,FR,Borer,,,12,Major,2015-05-17T21:18:19.387,D,,Borer,2272,26,Soleure,Soleure,,
23,1959-06-06T00:00:00,,Marco,m,27,FR,Borradori,,,,,2015-05-17T21:18:19.387,I,,Borradori,2273,27,,,,
24,1947-02-16T00:00:00,,Toni,m,28,FR,Bortoluzzi,2,marié(e),,,2015-05-17T21:18:19.387,D,4,Bortoluzzi,2274,28,Zurich,Affoltern am Albis,,
